Job Title,Company,Location,Experience,Posted,Description,Skills
Analyst,eClerx,Mumbai,0-2 Yrs,2 weeks ago,"At eClerx, we believe in nurturing talent and providing hands-on experience. . eClerx F...","investment banking, capital market, derivatives, investment banking operations, fixed income, settlements, trading, data management"
Record To Report Ops Analyst,Accenture,Gurugram,3-5 Yrs,1 day ago,Qualifications: Any Graduation Skill required: Record To Report - Intercompany Account ...,"service operations, journal entries, forecasting, reporting analysis, record to report, hlookup, macros, data analysis"
"Lead Specialist -Metrics, Analytics & Reporting",Mercer,"Noida, Gurugram",5-10 Yrs,2 weeks ago,Company: Mercer Description: We are seeking a talented individual to join our Transf...,"project management, call center operations, presentation skills, rta, wfm, data analysis, mis reporting, forecasting"
Analyst,Barclays,Chennai,1-10 Yrs,1 week ago,CA and / or MBA graduates with strong academic record and few years of experience in Ac...,"Analyst, Financial reporting, Finance, Service excellence, Financial risk management, Continuous improvement, Operations, Cost"
Analyst - Angular,Deloitte Consulting,Bengaluru,0-4 Yrs,1 day ago,"Deloitte South Asia LLP Y our potential, unleashed. I...","Automation, Data management, Performance management, Analytical, Machine learning, Javascript, Workflow, Business intelligence"
LEC- Analyst LEC- Analyst,JPMorgan Chase Bank,Bengaluru,0-10 Yrs,5 days ago,"Shift Timing 30 Noon to 30pmRequired qualifications, capabilities, and skills . CA / MB...","Automation, US GAAP, Financial reporting, Regulatory reporting, Financial analysis, ECB, Analytical, German"
Analyst,Crisil,Pune,2-5 Yrs,6 days ago,Required Skills & QualificationsCompetence in reporting tools and dashboard creation (E...,"bi, data warehousing, sharepoint, dashboards, sql, analytics, change control, oos"
FP&A Analyst,3M India,Bengaluru,3-5 Yrs,3 weeks ago,Experience: 3-5 years of relevant experience in Financial Planning & Analysis or a simi...,"Supply chain, Data analysis, Financial reporting, CMA, Process improvement, Analytical, Financial planning, Variance analysis"
Advertising Ops Analyst,Amazon,Bengaluru,0-6 Yrs,1 day ago,Bachelors degree Experience analyzing data and best practices to assess performance dri...,"Display advertising, Data analysis, Campaign management, Analytical, E-commerce, Account management, Online advertising, Operations"
Programmatic - Analyst,Annalect,Bengaluru,2-3 Yrs,1 day ago,Qualifications A full-time graduate degree (Mandatory) 2 to 3 years of experience in ma...,"Public relations, advertising agency, Analytical, Consulting, Market research, Support services, Troubleshooting, Digital marketing"
Analyst,Nomura,Mumbai,1-6 Yrs,3+ weeks ago,Experience . 1 year . Qualification . Graduate/ Postgraduate / MBA/CA . Requisition NoP...,"Financial reporting, Wealth management, MIS, CMA, Investment banking, Investment management, Information technology, Financial services"
Workday Reporting Analyst,Leading Client,Bengaluru,4-5 Yrs,2 weeks ago,"Develop and maintain reports within Workday, utilizing Workday’s reporting tools to gen...","data analysis, sql, reporting analysis, advanced excel, reporting tools, hlookup, macros, data analytics"
CSM Ops Analyst,Xpheno,Noida,5-7 Yrs,3+ weeks ago,Ability to work in shifts 24xMost likely to work on EMEA time zone (12:30-9:30 PM) Bach...,"Analyst, Data analysis, ERP, Automation, MIS, Analytical, Salesforce.com, Macros"
Lead Analyst FDS&A,Lowes Services India Private limited,Bengaluru,5-10 Yrs,3+ weeks ago,"Lowe s Companies, Inc. (NYSE: LOW) is a FORTUNE 50 home improvement company serving...","Financial reporting, Financial analysis, Analytical, Corporate finance, Budgeting, microsoft, Business intelligence, Financial modelling"
ABM Analyst,American Express Global Business Travel,"Mumbai, Gurugram, Chennai",0-7 Yrs,4 days ago,". 2 4 years of experience in marketing operations, campaign execution, or ABM support, ...","QA, Senior Analyst, Consulting, Marketing operations, Adobe, commercial sales, Analytics, CRM"
Sr. Analyst - FP&A,Lennox India Technology Centre (LITC),Chennai,1-6 Yrs,1 day ago,Requires a bachelors degree or an equivalent combination of education and experience . ...,"Supply chain, Financial statements, Excel, Financial reporting, Accounting, Billing, Manager Technology, Ventilation"
Senior FP&A Analyst,QAD,Mumbai,4-6 Yrs,1 week ago,The Senior FP&A (Systems & Reporting) Analyst is responsible for executing and mai...,"Financial statements, Data management, Financial reporting, Analytical, Financial planning, Data collection, data integrity, Forecasting"
FP&A Analyst,Puma Energy,Mumbai,4-6 Yrs,3 weeks ago,experience with ERP systems and reporting tools preferred. . Strong analytical and nume...,"financial analysis, foreign exchange, erp, analytical, forecasting, verbal communication, business analysis, accounting"
Analyst,Uniqus,Chennai,0-2 Yrs,1 day ago,"Flexibility and willingness to travel on short notice, as necessaryExperience of workin...","Management Associate, Financial statements, Financial reporting, Accounting, Analytical, Consulting, Management, Research"
FP&A Analyst,Hempel,Pune,2-5 Yrs,1 day ago,Are you a finance professional who thrives on turning complex data into actionable in...,"Procurement, ERP, SAP, Financial reporting, Financial analysis, Budgeting, Forecasting, Analytics"
Sr. Analyst - FP&A,Lennox India Technology Centre (LITC),Chennai,1-6 Yrs,1 day ago,Requires a bachelors degree or an equivalent combination of education and experience . ...,"Supply chain, Financial statements, Excel, Financial reporting, Accounting, Billing, Manager Technology, Ventilation"
Analyst,Urbanpiper,Bengaluru,1-3 Yrs,3+ weeks ago,"MBA / Post Graduates in HR / Finance/Analytics or related fields . Or, Bachelors in Eng...","settlements, hrms, hlookup, macros, data analytics, law, data analysis, mis reporting"
MIS Executive,Nibav Home Elevators,Chennai,1-5 Yrs,1 day ago,"Required Skills . Strong proficiency in SQL for data extraction, manipulation, and anal...","Data analysis, Automation, Business reporting, Analytical, power bi, Advanced Excel, data visualization, microsoft"
